id,model,connectance_mod,complexity_mod,distance_mod,basal_mod,top_mod,S1_mod,S2_mod,S4_mod,S5_mod
909,hierarchy,0.019,0.9695526899971737,1.0,9.0,15.0,281.0,7.0,161.0,129.0
909,maxent,0.0192,0.9493921102669807,2.0,24.0,76.0,0.0,0.0,1150.0,353.0
946,random,0.036675347222222224,0.9498110115986611,1.0,2.0,1.0,940.0,31.0,455.0,451.0
946,niche,0.03732638888888889,0.9213327891700268,2.0,21.0,7.0,717.0,78.0,602.0,1118.0
946,cascade,0.036783854166666664,0.9382633053174501,5.0,16.0,10.0,782.0,61.0,662.0,757.0
946,hierarchy,0.036675347222222224,0.9554782356946946,1.0,6.0,1.0,1027.0,57.0,480.0,533.0
946,maxent,0.03721788194444445,0.9394172645806623,2.0,65.0,31.0,0.0,0.0,1554.0,2226.0
26,random,0.08163265306122448,0.970049003215891,2.0,2.0,1.0,36.0,2.0,9.0,15.0
26,niche,0.0875,0.9136031931802266,2.0,11.0,3.0,0.0,3.0,11.0,41.0
26,cascade,0.078125,0.9379926393590328,4.0,6.0,7.0,42.0,3.0,53.0,42.0
26,hierarchy,0.057291666666666664,0.9658279863967344,1.0,2.0,8.0,34.0,0.0,30.0,11.0
26,maxent,0.059027777777777776,0.9589942847775696,2.0,4.0,9.0,25.0,3.0,26.0,14.0
27,random,0.0162,0.9720354602837096,2.0,15.0,12.0,221.0,3.0,97.0,115.0
27,niche,0.015625,0.9519815506936784,2.0,42.0,30.0,56.0,5.0,112.0,242.0
27,cascade,0.012647465192900414,0.9687276194589197,4.0,30.0,37.0,86.0,1.0,105.0,83.0
27,hierarchy,0.01460641113616312,0.9731589286981653,1.0,17.0,22.0,162.0,1.0,118.0,71.0
27,maxent,0.013349946600213599,0.9014237753741361,2.0,9.0,97.0,0.0,0.0,2807.0,95.0
28,random,0.10185185185185185,0.9535244312305116,2.0,2.0,5.0,6.0,0.0,3.0,2.0
28,niche,0.09375,0.9636259990991228,3.0,4.0,4.0,11.0,2.0,11.0,10.0
28,cascade,0.11728395061728394,0.9364716004693698,4.0,5.0,3.0,37.0,12.0,27.0,49.0
28,hierarchy,0.12802768166089964,0.9135844178491074,1.0,1.0,4.0,33.0,0.0,34.0,17.0
28,maxent,0.11728395061728394,0.928427186912247,3.0,4.0,5.0,14.0,0.0,25.0,22.0
947,random,0.16620498614958448,0.9286037762842403,3.0,2.0,0.0,43.0,3.0,21.0,20.0
947,niche,0.1903114186851211,0.8774279969725499,2.0,3.0,3.0,16.0,25.0,36.0,66.0
947,cascade,0.17174515235457063,0.9221775374827962,2.0,2.0,2.0,78.0,41.0,71.0,101.0
947,hierarchy,0.1523545706371191,0.9285471148878499,1.0,1.0,0.0,77.0,4.0,48.0,45.0
947,maxent,0.16066481994459833,0.9058193460431184,3.0,2.0,3.0,41.0,37.0,77.0,88.0
1262,random,0.09171597633136094,0.9530537733464826,5.0,3.0,2.0,52.0,3.0,28.0,30.0
1262,niche,0.0954861111111111,0.9016686049576482,2.0,12.0,0.0,9.0,6.0,26.0,66.0
1262,cascade,0.09171597633136094,0.9247881027790775,2.0,3.0,6.0,63.0,27.0,68.0,90.0
1262,hierarchy,0.08875739644970414,0.9490611785359292,1.0,5.0,1.0,88.0,8.0,32.0,52.0
1262,maxent,0.08875739644970414,0.8972742954407656,3.0,14.0,7.0,3.0,13.0,114.0,210.0
1261,random,0.12345679012345678,0.9608426170022105,3.0,2.0,2.0,8.0,1.0,3.0,3.0
1261,niche,0.12396694214876033,0.9297925943412945,2.0,4.0,2.0,3.0,0.0,2.0,4.0
1261,cascade,0.09027777777777778,0.971646559808254,3.0,5.0,4.0,5.0,1.0,5.0,9.0
1261,hierarchy,0.10059171597633136,0.9557020120476987,2.0,2.0,5.0,11.0,1.0,12.0,6.0
1261,maxent,0.10059171597633136,0.9417992629049317,2.0,7.0,3.0,4.0,3.0,13.0,19.0
1219,random,0.04846938775510204,0.945787951514758,1.0,5.0,4.0,232.0,8.0,140.0,128.0
1219,niche,0.0628698224852071,0.9135216572610034,2.0,8.0,8.0,285.0,57.0,315.0,427.0
1219,cascade,0.05644132653061224,0.9408983601251594,5.0,10.0,8.0,314.0,42.0,297.0,338.0
1219,hierarchy,0.05644132653061224,0.9483539775176846,2.0,5.0,0.0,429.0,17.0,215.0,228.0
1219,maxent,0.05644132653061224,0.9146933171338818,3.0,32.0,0.0,167.0,112.0,108.0,1002.0
1237,random,0.10518518518518519,0.9395449804876898,1.0,0.0,1.0,365.0,40.0,176.0,174.0
1237,niche,0.13234567901234567,0.884879989141263,2.0,9.0,0.0,229.0,123.0,298.0,389.0
1237,cascade,0.11160493827160493,0.9115155940602955,3.0,4.0,5.0,538.0,160.0,640.0,502.0
1237,hierarchy,0.10222222222222223,0.9345850636385625,1.0,3.0,0.0,402.0,89.0,175.0,182.0
1237,maxent,0.10469135802469136,0.903739714329881,3.0,20.0,4.0,176.0,237.0,318.0,838.0
1218,random,0.05436390532544379,0.9506385526857423,1.0,1.0,3.0,280.0,14.0,149.0,131.0
1218,niche,0.046627433227704844,0.9391518319386274,2.0,12.0,12.0,98.0,15.0,140.0,186.0
1218,cascade,0.051619793520825914,0.9351780658172623,6.0,8.0,6.0,234.0,25.0,226.0,205.0
1218,hierarchy,0.053755784976860094,0.9453083068948651,1.0,2.0,1.0,342.0,15.0,184.0,180.0
1218,maxent,0.053399786400854396,0.9163185540758219,3.0,40.0,0.0,86.0,56.0,77.0,1260.0
1235,random,0.06281957633308985,0.9471046876700361,3.0,2.0,6.0,104.0,6.0,54.0,40.0
1235,niche,0.06944444444444445,0.9091788198038387,2.0,15.0,6.0,30.0,56.0,82.0,242.0
1235,cascade,0.06281957633308985,0.9389163050811153,3.0,11.0,5.0,126.0,18.0,93.0,133.0
1235,hierarchy,0.07012417823228634,0.9530992227434915,1.0,1.0,2.0,181.0,7.0,94.0,90.0
1235,maxent,0.0679327976625274,0.9190802110221751,3.0,24.0,1.0,10.0,14.0,21.0,189.0
12,random,0.01591674318947046,0.9700696972090178,5.0,18.0,20.0,215.0,0.0,102.0,107.0
12,niche,0.019589837771655953,0.9488373978769499,2.0,42.0,17.0,252.0,10.0,186.0,347.0
12,cascade,0.017089180624717065,0.9637499107028431,3.0,25.0,27.0,145.0,6.0,138.0,136.0
12,hierarchy,0.0148,0.9721651640986871,2.0,16.0,21.0,158.0,1.0,101.0,70.0
12,maxent,0.014704440741103813,0.9306130478426409,2.0,26.0,75.0,0.0,0.0,1523.0,154.0
13,random,0.032039871840512636,0.9580821146885419,2.0,10.0,10.0,133.0,5.0,73.0,68.0
13,niche,0.03844784620861517,0.9463927625402165,2.0,25.0,4.0,123.0,7.0,62.0,235.0
13,cascade,0.036667853328586686,0.9462742073146233,4.0,13.0,13.0,124.0,11.0,137.0,109.0
13,hierarchy,0.029835390946502057,0.9699308693972171,2.0,9.0,10.0,99.0,1.0,63.0,50.0
13,maxent,0.03155006858710562,0.9406870084187963,2.0,15.0,39.0,0.0,0.0,401.0,153.0
18,random,0.047337278106508875,0.9750518502249425,2.0,6.0,6.0,31.0,0.0,16.0,17.0
18,niche,0.06076388888888889,0.9465888002739373,2.0,12.0,2.0,8.0,0.0,2.0,14.0
18,cascade,0.04846938775510204,0.9544783742220041,3.0,8.0,8.0,27.0,5.0,22.0,22.0
18,hierarchy,0.039239001189060645,0.9775035009517635,1.0,8.0,9.0,21.0,1.0,10.0,9.0
18,maxent,0.04518430439952437,0.9215617324020183,2.0,11.0,18.0,0.0,0.0,79.0,47.0
3259,random,0.1625,0.9332280588896521,1.0,1.0,2.0,46.0,9.0,32.0,21.0
3259,niche,0.1325,0.9067693358956975,2.0,6.0,0.0,21.0,16.0,5.0,73.0
3259,cascade,0.1525,0.9220743466810654,4.0,3.0,2.0,79.0,36.0,72.0,75.0
3259,hierarchy,0.1475,0.9264756694554195,1.0,2.0,0.0,73.0,4.0,50.0,37.0
3259,maxent,0.15,0.9231795378493961,2.0,3.0,6.0,23.0,21.0,91.0,74.0
908,random,0.03506208911614317,0.9751601299593045,3.0,6.0,7.0,47.0,0.0,24.0,25.0
908,niche,0.05128205128205128,0.9382529107565996,2.0,12.0,5.0,89.0,0.0,59.0,86.0
908,cascade,0.04016620498614958,0.9545661735303486,4.0,12.0,9.0,48.0,3.0,42.0,58.0
908,hierarchy,0.0335316387236344,0.9695382465768496,1.0,4.0,13.0,72.0,0.0,47.0,23.0
908,maxent,0.03407247160627366,0.9323499761271581,2.0,17.0,26.0,0.0,0.0,188.0,101.0
23,random,0.058823529411764705,0.9692306399162054,2.0,5.0,6.0,12.0,0.0,7.0,6.0
23,niche,0.07612456747404844,0.9427911598696538,2.0,8.0,2.0,11.0,0.0,4.0,20.0
23,cascade,0.061224489795918366,0.9611981916759844,2.0,5.0,6.0,5.0,0.0,4.0,3.0
23,hierarchy,0.06172839506172839,0.9528934850270351,2.0,4.0,8.0,9.0,1.0,15.0,5.0
23,maxent,0.055401662049861494,0.9525827969626013,2.0,8.0,11.0,0.0,0.0,31.0,15.0
